o_p_q_r_s_t_u_v_w_x_y_z_{_|_}_~_
LanguageConfig_StorylineGuide_2_CN|艺术家，疯子，苦行者，痴愚之人……这座城市是属于你的展馆，蜡像们站在故事开场的地方，渴盼着你的光临。
SchoolConfig_2_SchoolFeature|该界域的唤醒体需要选择如何积攒与利用胚胎，可以主动使用来灵活地提供狂气或是被吞噬来增强狂气爆发的效果。
SchoolConfig_1_SchoolFeature|该界域的唤醒体与其它界域混编时，能够增强对应界域的相关能力，全混沌编队时则会拥有更强大的银钥掌控能力。
PanelText_UI_Events_Panel_Banquet_Text_C_Not_unlocked_Content|<Gray:未解锁>
FeatureUnlock_17022_LockTip|通关 序章 后解锁
FeatureUnlock_17005_FeatureName|幕间演习(开发中)
FeatureUnlock_17001_FeatureName|狂蚀集训(开发中)
FeatureUnlock_17026_LockTip|调查等级 35 级 解锁
FeatureUnlock_17030_LockTip|调查等级 35 级 解锁
FeatureUnlock_17029_LockTip|调查等级 45 级 解锁
FeatureUnlock_17043_LockTip|调查等级 45 级 解锁
FeatureUnlock_17027_LockTip|调查等级 25 级 解锁
FeatureUnlock_16980_LockTip|调查等级 35 级 解锁
LanguageConfig_BonusRuleContent_Summer2Activity_CN|1、守密人解锁「假日纪行」中的「高级纪行」，可在「日光下新事」关卡任务报酬中获得额外100%的「海滨特产贝壳」掉落（包括重现）。
LanguageConfig_School_Ocean_Content_String_CN|·战斗开始时生成 1 条触腕，触腕在回合结束时攻击前排敌人。
LanguageConfig_ResonanceRules_CN|1、每章调查事件都有共鸣，共鸣可以在调查时提供强力的协助。
LanguageConfig_Battle_Tips_MonsterDimensionTips_CN|每回合打出第 1 张指令卡的临时复制会进入维度裂隙。梭行维度之犬释放维度闭锁后，跳过下回合抽牌，将维度裂隙中的卡牌加入手牌。
LanguageConfig_RepairTipsContent_CN|修复功能将删除所有已下载的游戏资源，点选确认后将重新下载。
LanguageConfig_DiamondDonateDesc_CN|您捐献的每滴源液都弥足珍贵，它们会投入融蚀研究和校舍建设中，化作弥萨格的一部分，与各位一同奔赴那个不被遗忘的未来。
LanguageConfig_Resonance_Group_Desc_x2_CN|在「生命的蜕变」事件处，选择一名唤醒体转化为「虫族」。
LanguageConfig_AlchemyDecomposeWeaponConfirmTIps_CN|本次分解物资包含<Blue:SSR级命轮或已叠位的命轮>，物资价值较高，确认分解请在输入框中输入<Blue:正确答案>，点击确定后将进行分解。
FeatureUnlock_49418_FeatureName|通用任务类型
FeatureUnlock_49418_LockTip|通关 序章 后解锁
LanguageConfig_Card_Tip_CantRemove_CN|<CardTip:无法被移除>
LanguageConfig_BreakThrough_Preview_Not_Completed_Tips_CN|唤醒体达到Lv.{s1}且守密人达到Lv.{s2}可升格
LanguageConfig_StorylineGuide_8_CN|长明的灯已燃起，那幽暗的光，将为你照亮通往终途的路。
LanguageConfig_SummonRulesExtraTxt1_CN|次数不足时，如果有额外补偿次数，则以额外补偿次数补足。
LanguageConfig_Battle_Tips_BeDamageInfo_CN|本回合敌人即将造成的伤害总量。获得护盾可以抵挡伤害。
LanguageConfig_Battle_Tips_TurnInfo_CN|本场战斗经历的回合数。敌人会随着回合数的增加逐渐成长。
LanguageConfig_Card_Tip_Regenerate_CN|<CardTip:再生>
LanguageConfig_CardTip_Metallicize_CN|<CardTip:金属化>
LanguageConfig_Tip_Ability_CN|<CardTip:能力>
LanguageConfig_Card_Tip_Ability_CN|<CardTip:灵知觉醒>
LanguageConfig_DailyCopy_Str_Dialog_CN|攻略关卡后，可以获取材料
LanguageConfig_Summon_RateList_Text2_CN|（当未触发UP或保底规则时，所有唤醒体或命轮均分基础出率）
LanguageConfig_LeaveSpStore_Tips_CN|蠕动的融痕发出嘶哑的低语：
LanguageConfig_Monster_B0004_1_CN|「梭行维度之犬」盯上你了……注意维度裂隙，放入卡牌来保护自己！
LanguageConfig_Monster_LT_1_CN|敌人准备释放「灵知觉醒」来逆转局势！此时免疫一切伤害…
LanguageConfig_Card_Tip_Ethereal_CN|<CardTip:虚无>
LanguageConfig_Monster_DYQ_1_CN|敌人被「维度障壁」环绕，生命减少到一定程度后会获得大量护盾。
LanguageConfig_Monster_LLZ_2_CN|猎颅者正在狩猎一名唤醒体，他的行动会引发猎颅者的寻踪本能！
LanguageConfig_Card_Select_Get_Tipslamengna2_CN|选择 1 张牌赋予「回声」刻印，其余卡牌置入弃牌堆。
LanguageConfig_Card_Select_Get_Tipslamengna6_CN|选择任意张卡牌弃置，每弃置 1 张临时暴击伤害+15％
LanguageConfig_Card_Select_Get_Tipslamengna7_CN|选择 1 张卡牌，将其临时复制置入手中并使其算力消耗-1。
LanguageConfig_Card_Select_Del_Tipsnaogang_CN|选择至多 2 张卡牌删除，将它们置入「备用脑缸」。
LanguageConfig_Monster_C06_Tips_1_CN|「分裂患者」即将发狂，快用「安闲之铃」降低她的狂气！
LanguageConfig_RedemptionTips_10602_CN|当前兑换码类型未生效 或 您不满足礼包码的领取条件。
LanguageConfig_ResonanceResetCostConfirm_CN|是否需要消耗<color=%s>%d</color>%s重置当前关卡共鸣点？
LanguageConfig_DoubleOutputActivityStageTips_CN|今日剩余双倍奖励次数：<DoubleOutputActivityTimes:{s1}/{s2}>
LanguageConfig_LevelFailureGuide_CN|-提升唤醒体等级
LanguageConfig_DailyCopy_Str_TrinketCopy_CN|攻略关卡后，可以获取密契
LanguageConfig_Card_Select_Get_Tipspikeman1_CN|选择 1 张卡牌置入手中，并为其赋予「消耗」和「保留」。
LanguageConfig_WeekChallengeNotReached_1_CN|尚未达到下一阶段的奖励要求或所有奖励均已被领取
LanguageConfig_Card_Select_Tips1_kelaimenting_CN|选择将「共感」转化为「精神创伤」或「恐惧固着」。
LanguageConfig_DailyChallengeMagnificationDescribe_CN|当前调查评分倍率×{s1}，最终评分以调查完成为准
LanguageConfig_StorylineGuide_1_CN|踏入伦蒂尼恩危险的夜雾吧，守密人。属于你的道路，于此开始。
LanguageConfig_Card_Tip_Bramble_CN|<CardTip:尖刺>
LanguageConfig_ExchangeConfirmText_CN|「银芯」不足，是否使用「源液」× {s1} 兑换等量「银芯」
LanguageConfig_AwakerUseTimesLimitTips_CN|*通关后，本次出战的唤醒体今日将无法在本活动中上场。
LanguageConfig_Monster_C0503BOSS_Tips_1_CN|剩余手牌越多敌人的攻击就越弱，保留更多手牌来减弱攻势！
LanguageConfig_StorylineGuide_10_CN|当然，混乱是一切的结局。可总有人不愿放弃挣扎，不是吗？
LanguageConfig_Monster_C0503BOSS_Tips_2_CN|剩余手牌越多敌人就会获得更多屏障，尽可能打出手牌！
LanguageConfig_StorylineGuide_13_CN|无垠的幻梦里没有答案。这场梦境，到了该醒来的时候了。
LanguageConfig_Monster_C0603BOSS_Tips_1_CN|敌人每失去一定生命，就会有「灵觉之子」自其腹中诞生！
LanguageConfig_risk_error_msg_maliciousAction_CN|检测到违规行为，请前往【客服入口】联系客服进行申诉。
LanguageConfig_PVPFailTips_CN|无需气馁，每位守密人都会经历挑战。重新来过，下一次你会更强！
LanguageConfig_Monster_6unit_C0602boss_tips2_CN|敌人正要以惊人速度回复生命，对其造成伤害来阻止它！
LanguageConfig_Monster_Awaker_O04_Tips_1_CN|凯刻斯正在以惊人的速度愈合伤口，攻击以干扰他的回复！
LanguageConfig_LevelUpTipsHpMultiplierText_CN|唤醒体每点体质带来的最大生命提升至<TipsHighlightText_1: {s1} >
LanguageConfig_Monster_JL_Tips_1_CN|珈伦进入了吃饱喝足状态！你每次消耗算力，珈伦都会获得力量！
LanguageConfig_ItemGain_AwakerGainLikeReward_CHN_CN|同调率奖励
LanguageConfig_Battle_Tips_PhiloStoneDropBonuses_CN|黑印掉落加成
LanguageConfig_Battle_Cards_Number_CN|{s1}<size=20>    /     {s2}</size>
LanguageConfig_RoleInterface_Str_Tips_CN|暂无该界域的唤醒体
LanguageConfig_RoleInterface_SortTypeBtn_Favorability_CN|同调率
LanguageConfig_RoleInterfaceSort_Str_Potency_CN|启灵 {s1}/{s2}
LanguageConfig_RoleInterfaceSort_Str_Favorability_CN|同调率 {s1}
LanguageConfig_Battle_Tips_BoutCount_CN|所有战斗的总回合数。
LanguageConfig_BattleSim_Err_NoActor_CN|角色栏为空，不能进入战斗
LanguageConfig_Battle_GiveUp_Stone_CN|所有战斗放弃获取黑印
LanguageConfig_AwakerFavorability_Description_Title_CN|同调率说明
LanguageConfig_ItemGain_String_LevelUpGet_CHN_CN|溢出经验返还
LanguageConfig_AwakerFavorability_Str_LvUp_CN|{s1}的同调率提升至{s2}
LanguageConfig_Battle_ChooseCardToHand_CN|选择{s1}张卡加入手卡
LanguageConfig_ItemGain_String_WorkCont_CHN_CN|点击屏幕继续
LanguageConfig_RoleDetailsAttributeLevelUp_Btn_LevelUp_CN|升1级
LanguageConfig_ItemGain_String_MainCont_CHN_CN|点击屏幕继续
LanguageConfig_BattleString_02_CN|算力不足，无法使用指令卡
LanguageConfig_Battle_PlayerTurn_Title_CHN_CN|我方行动
FeatureUnlock_16961_FeatureName|超维之旅·轮转间隙
LanguageConfig_ActorString_Sort_Descend_CN|降序
LanguageConfig_Battle_Defeated_Title_EN_CN|DEFEATED
LanguageConfig_BattleString_01_CN|剩余回合数：{s1}
LanguageConfig_Battle_PlayerTurn_Title_EN_CN|PLAYER TURN
LanguageConfig_Battle_Begin_Boss_CHN_CN|最高警报
LanguageConfig_Card_Upgrade_Desc_CN|选择1张卡进行强化
LanguageConfig_ActorString_Sort_Ascend_CN|升序
LanguageConfig_Event_Shop_BuyTip_1_CN|黑印不足
LanguageConfig_Battle_EndTurn_CHN_CN|结束回合
LanguageConfig_Battle_ExtraTurn_Title_EN_CN|EXTRA TURN
LanguageConfig_Battle_Win_SelectCard_CN|选择指令卡
FeatureUnlock_16990_FeatureName|混沌之域·轮转间隙
LanguageConfig_Battle_Exhaust_Title_CN|消耗堆
FeatureUnlock_23670_FeatureName|深海之遗·轮转间隙
LanguageConfig_Battle_Win_Select1_CN|已选：0/1
LanguageConfig_Battle_Win_Select2_CN|已选：0/2
LanguageConfig_BattleBuff_6_CN|增加触腕的伤害值
LanguageConfig_Battle_ChooseCard_CN|选择指令卡
LanguageConfig_Battle_ExtraTurn_Desc_CHN_CN|超维跃迁！
LanguageConfig_Battle_Discard_Title_CN|弃卡堆
LanguageConfig_Event_Shop_BuyTip_2_CN|黑印不足
LanguageConfig_Battle_Win_Title_CHN_CN|战斗胜利
LanguageConfig_Battle_Win_SelectRelic_CN|选择造物
LanguageConfig_Battle_Begin_Elite_CHN_CN|危险警报
FeatureUnlock_23669_FeatureName|血肉之沼·轮转间隙
LanguageConfig_Battle_Defeated_Title_CHN_CN|战斗失败
FeatureUnlock_23667_FeatureName|超维之旅·轮转间隙
LanguageConfig_Battle_EnemyTurn_Title_CHN_CN|敌方行动
LanguageConfig_Battle_EnemyTurn_Title_EN_CN|ENEMY TURN
LanguageConfig_Battle_ExtraTurn_Title_CHN_CN|额外回合
LanguageConfig_Battle_RelicList_Title_CN|持有造物
LanguageConfig_Battle_Win_Return_CN|返回指令卡选择
LanguageConfig_RoleInterfaceSort_Str_SupType_CN|特殊
LanguageConfig_ItemGain_String_SpecialItemUse_CN|获得物资
LanguageConfig_StoryLineTask_String_Received_CN|已领取
LanguageConfig_Copy_Recommend_School_CN|推荐界域：
LanguageConfig_RoleDetails_Str_DBG_CN|调查模式
LanguageConfig_Battle_Tips_DimensionName_CN|超维空间
LanguageConfig_Battle_Tips_BloodName_CN|胚胎融合
LanguageConfig_Copy_Recommend_Level_CN|推荐等级：
LanguageConfig_RoleInterface_SortTypeBtn_Score_CN|战力
LanguageConfig_RoleInterface_SortTypeBtn_Hp_CN|体质
LanguageConfig_RoleInterface_SortTypeBtn_Def_CN|防御
LanguageConfig_ItemGain_String_MainTitle_CN|获得物资
LanguageConfig_RoleInterface_SortTypeBtn_Collection_CN|收藏
LanguageConfig_ItemGain_String_MainTitle_CHN_CN|获得物资
LanguageConfig_Battle_Tips_HpHeal_Title_CN|生命自动回复
LanguageConfig_RoleInterface_Btn_Determine_CN|关闭
LanguageConfig_ReConnect_1_CN|尝试重新同步中…
LanguageConfig_RoleInterface_SortTypeBtn_Potency_CN|启灵
LanguageConfig_RoleInterfaceSort_Str_Hp_CN|体质 {s1}
LanguageConfig_RoleInterfaceSort_Str_Atk_CN|攻击 {s1}
LanguageConfig_RoleInterfaceSort_Str_Def_CN|防御 {s1}
LanguageConfig_ItemGain_String_MainCont_ENG_CN|CONTINUE
LanguageConfig_ReConnect_6_CN|正在进行精神同步
LanguageConfig_ItemGain_String_WorkTitle_CHN_CN|获得物资
LanguageConfig_Battle_Tips_EffectEnd_CN|{s1}效果结束
LanguageConfig_ItemGain_String_MainTitle_ENG_CN|ITEMS GAINED
LanguageConfig_RuneGain_Title_CN|选择1张卡牌镶嵌刻印
LanguageConfig_Actor_Skill_Upgrade_MaxLeve_CN|已满级
LanguageConfig_RoleInterface_SortTypeBtn_Atk_CN|攻击
LanguageConfig_RoleInterface_SortTypeBtn_Type_CN|界域
LanguageConfig_StoryLineTask_String_Available_CN|领取
LanguageConfig_RoleInterface_Str_Title_CN|全界域
LanguageConfig_RoleInterfaceSort_Str_Level_CN|Lv.{s1}
LanguageConfig_RoleDetails_Str_RPG_CN|课题模式
LanguageConfig_RoleInterfaceSort_Str_Score_CN|战力 {s1}
LanguageConfig_RoleInterfaceSort_Str_AtkType_CN|强袭
LanguageConfig_ItemGain_String_ShareTitle_CN|分享奖励
LanguageConfig_RoleInterfaceSort_Str_DefType_CN|防卫
LanguageConfig_Battle_Tips_TentacleName_CN|触腕
LanguageConfig_RoleInterface_SortTypeBtn_Star_CN|稀有度
LanguageConfig_RoleInterface_SortTypeBtn_Level_CN|等级
LanguageConfig_RoleDetailsAttributeLevelUp_Str_LimitTip_CN|等级已达上限
LanguageConfig_MainInterface_Btn_MultiTeamArena_CN|狂蚀集训-开发中
LanguageConfig_Card_Tip_Weak_CN|<CardTip:虚弱>
LanguageConfig_Server_Closed_CN|校园维护中，请静候修整完成
LanguageConfig_Task_Dispatch_SpeedUp_Free_CN|免费（已废弃）
LanguageConfig_Server_Warn_23_CN|单元已提交，无需再次提交
LanguageConfig_Server_Warn_7_CN|已有角色，不需要再次创建
LanguageConfig_Service_Tips_11860_CN|未达到建筑升级条件
LanguageConfig_Service_Tips_11859_CN|未达到建筑解锁条件
LanguageConfig_Team_Card_Str_Nill_Overview_CN|请把角色放入编队
LanguageConfig_Shop_Confirm_Buy_Str_Now_Arena_Money_CN|当前竞技场币{s1}
LanguageConfig_Server_Warn_12_CN|密境事件配置类型填写错误
LanguageConfig_StoryLine_LockAdvance_CN|{s1}达到{s2}解锁{s3}
LanguageConfig_Task_Career_LastChapter_Tips_CN|当前已经是第一组
LanguageConfig_DeathResistance_CN|<color=#E3FFE3>死亡抵抗</color>
LanguageConfig_Task_Dispatch_Select_Null_CN|需要至少派遣一个唤醒体
LanguageConfig_RoleDetailsAttributeLevelUp_Btn_LevelUpLimit_CN|升至上限
LanguageConfig_Task_Dispatch_Callback_Desc2_CN|已派遣的唤醒体
LanguageConfig_Task_Dispatch_Extra_Cond_CN|加分条件（已废弃）
LanguageConfig_Task_Career_Progress_CN|当前进度： {s1}/{s2}
LanguageConfig_Contact_Tips_1_CN|已解锁1个造物保留格！
LanguageConfig_StoryRole_Unlock_CN|该剧情线尚未解锁，无法进入。
LanguageConfig_Shop_Confirm_Revert_Str_Arena_Money_Tips_CN|竞技场币不足
LanguageConfig_RoleDetailsSkill_Str_AbilitySkill_CN|灵知觉醒
LanguageConfig_Shop_Confirm_Revert_Str_Lack_Money_Tips_CN|蔷薇金券不足
LanguageConfig_Shop_Revert_Str_Next_Time_CN|重置倒计时：{s1}
LanguageConfig_Energy_Revert_Str_Content_CN|要回复「灵啡肽」吗？
LanguageConfig_Shop_Confirm_Buy_Str_Need_Arena_Money_CN|消耗竞技场币{s1}
LanguageConfig_Energy_Countdown_Str_CN|{s1}后恢复1点「灵啡肽」
LanguageConfig_Repeat_Get_Copy_Reward_CN|已获得蔷薇金券效率奖励
LanguageConfig_Card_Tip_Frail_CN|<CardTip:脆弱>
LanguageConfig_Shop_Confirm_Revert_Str_Tips_CN|重置商店内容吗？
LanguageConfig_Service_Not_Errcode_CN|功能提示：未找到提示代码
LanguageConfig_MoppingUp_lock_Warn_CN|调查等级2级解锁快速调查
LanguageConfig_ClearCopy_Tips_Unlock_CN|三星通关关卡后解锁
LanguageConfig_Buy_Jewel_Str_Title_CN|购买银芯
LanguageConfig_Shop_Refresh_Cost_Text_CN|消耗{s1}黑印
LanguageConfig_Awaker_LevelUp_Success_CN|升级成功
LanguageConfig_Float_Tip_DefenceCrash_CN|护盾破除！
LanguageConfig_Shop_Confirm_Revert_Str_Money_Tips_CN|要使用
LanguageConfig_Shop_Buy_Lack_Arena_Money_CN|竞技场币不足
LanguageConfig_Shop_Confirm_Revert_Str_Title_CN|确认重置
LanguageConfig_RoleDetailsEquipDetails_Btn_Remove_CN|卸下
LanguageConfig_RoleDetailsEquipDetails_Btn_Change_CN|更换
LanguageConfig_RoleDetailsEquipDetails_Btn_PutOn_CN|装备
LanguageConfig_Shop_Now_Num_Goods_Str_CN|持有数：{s1}
LanguageConfig_Shop_Confirm_Buy_Str_Need_Money_CN|消耗{s1}
LanguageConfig_Shop_Buy_Lack_Money_CN|{s1}不足
LanguageConfig_Shop_Revert_Button_Text_CN|立即重置
LanguageConfig_Ticket_Revert_Btn_Return_CN|取消
LanguageConfig_ClearCopy_Tips_CN|用扫荡来快捷战斗吧！
LanguageConfig_Shop_Buy_Str_BuyLimit_CN|剩余：{s1}
LanguageConfig_Shop_Confirm_Buy_Btn_Sure_CN|确定
LanguageConfig_RoleDetailsSkillLevelUp_Btn_Determine_CN|升级
LanguageConfig_Shop_Batch_Buy_Btn_CN|批量购买{s1}
LanguageConfig_Shop_Confirm_Buy_Btn_Back_CN|取消
LanguageConfig_Ticket_Countdown_Str_CN|{s1}后恢复1张凭证
LanguageConfig_Level_Up_Max_Energy_Str_CN|灵啡肽上限
LanguageConfig_Level_Up_Tips_CN|守密人调查等级提升
LanguageConfig_Shop_Confirm_Buy_Str_Now_Money_CN|当前{s1}
LanguageConfig_Ticket_Revert_Time_Tips_CN|每小时回复一张
LanguageConfig_Battle_Str_DeathResist_CN|死亡抵抗！
LanguageConfig_RoleDetailsEquipDetails_Btn_LevelUp_CN|强化
LanguageConfig_Energy_Revert_Str_Title_CN|灵啡肽回复
LanguageConfig_Energy_Revert_Str_Num_CN|灵啡肽
LanguageConfig_Energy_Buy_Item_Used_CN|消耗银芯
LanguageConfig_RoleDetailsEquipDetails_Btn_Replace_CN|替换
LanguageConfig_Shop_Confirm_Buy_Str_Title_CN|购买确认
LanguageConfig_Less_Sweep_Item_CN|扫荡券不足
LanguageConfig_DiamondShop_Str_Title_CN|购买银芯
LanguageConfig_Energy_Buy_Item_Acess_CN|当前银芯
LanguageConfig_Skill_LevelUp_Success_CN|技能升级成功
LanguageConfig_Shop_Revert_Btn_Price_CN|用{s1}立即重置
LanguageConfig_Shop_Remove_Btn_Select_CN|取消选中
LanguageConfig_Potency_LevelUp_Success_CN|启灵成功
LanguageConfig_Team_Str_Nill_Actor_CN|无唤醒体
LanguageConfig_Task_Dispatch_LeftTime_CN|剩余【待删除】
LanguageConfig_Copy_Lock_CN|{s1}达到{s2}解锁{s3}
LanguageConfig_MainInterface_Btn_DailyChallenge_CN|幻梦深潜
LanguageConfig_Service_Tips_71_CN|不满足使用条件
LanguageConfig_Server_Warn_13_CN|密境事件不存在
LanguageConfig_MainInterface_Btn_BOSS_CN|超验存在
LanguageConfig_Float_Tip_EnergyDown_CN|能量下降…
LanguageConfig_Server_Stop_Tittle_CN|连接中断
LanguageConfig_Server_Warn_14_CN|黑印不足，无法购买
LanguageConfig_DailyCopy_Str_Money_Exp_CN|制剂淬炼
LanguageConfig_DailyCopy_Str_Ocean_Title_CN|海渊残像
LanguageConfig_Server_Warn_21_CN|商品已购买
LanguageConfig_Server_Warn_6_CN|没有角色，需创建
LanguageConfig_ClearCopy_Str_Title_CN|重现奖励
LanguageConfig_Battle_expect_Str_hurt_CN|怪物回合伤害
LanguageConfig_Battle_ResonanceBuff_Str_CN|共鸣
LanguageConfig_Server_Warn_25_CN|课题无模块
LanguageConfig_DailyCopy_Str_Dimension_Title_CN|维度残像
LanguageConfig_TaskNpc_001_CN|有可领取的任务奖励
LanguageConfig_Battle_DeathResist_CN|死亡抵抗
LanguageConfig_TaskType_Appoint_Battle_CN|战斗
LanguageConfig_TaskType_Appoint_Dispatch_CN|调查
LanguageConfig_TaskAward_Btn_Completed_CN|领取
LanguageConfig_Task_Dispatch_Select_CN|派遣上阵
LanguageConfig_Task_Dispatch_Callback_CancelBtn_CN|取消
LanguageConfig_Task_Appoint_Battle_Select_CN|前往战斗
LanguageConfig_Task_Appoint_Refresh_TimeLeft_CN|{s1}后刷新
LanguageConfig_Task_Career_Btn_Last_CN|上一组
LanguageConfig_Task_Dispatch_SpeedUp_CN|加速（已废弃）
LanguageConfig_Task_Appoint_Refresh_CN|刷新（已废弃）
LanguageConfig_MainInterface_Btn_Arena_CN|幕间演习
LanguageConfig_Task_Appoint_Battle_Award_CN|任务报酬
LanguageConfig_Float_Tip_DimensionJump_CN|跃迁效果发动！
LanguageConfig_Task_Appoint_Battle_EnemyInfo_CN|战斗概况
LanguageConfig_Server_Warn_22_CN|未找到课题单元数据
LanguageConfig_Float_Tip_BloodDevour_CN|吞噬效果发动！
LanguageConfig_Server_Warn_5_CN|角色数据错误
LanguageConfig_Float_Tip_TentacleFull_CN|触腕满溢！
LanguageConfig_MainInterface_Btn_WeekChallenge_CN|无光之境
LanguageConfig_DailyCopy_Str_Blood_Title_CN|器质残像
LanguageConfig_Server_Warn_17_CN|行商不出售此商品
LanguageConfig_MainInterface_Btn_DailyCopy_CN|融蚀之墟
LanguageConfig_Battle_DrawCardGroup_Str_CN|抽牌堆({s1})
LanguageConfig_Server_Warn_15_CN|此卡无法强化
LanguageConfig_Server_Warn_11_CN|密境事件已完成
LanguageConfig_Server_Warn_3_CN|客户端传入数据错误
LanguageConfig_Battle_DisCardGroup_Str_CN|弃牌堆({s1})
LanguageConfig_Task_Dispatch_Callback_ConfirmBtn_CN|确认
LanguageConfig_Service_Tips_11861_CN|建筑升级材料不足
LanguageConfig_MainInterface_Btn_TrinketCopy_CN|禁忌纂录
LanguageConfig_Server_Warn_19_CN|奖励已领取
LanguageConfig_Server_Warn_16_CN|此卡已达强化上限
LanguageConfig_Server_Warn_26_CN|关卡无课题数据
LanguageConfig_DailyCopy_Str_Title_CN|融蚀之墟
LanguageConfig_Server_Warn_20_CN|事件数据错误
LanguageConfig_Task_Career_Btn_Next_CN|下一组
LanguageConfig_Task_Dispatch_SelectConfirm_CN|确认派遣
LanguageConfig_Server_Warn_10_CN|未找到对应密境
LanguageConfig_Task_Dispatch_Callback_Title_CN|派遣召回
LanguageConfig_Task_Dispatch_Essential_Cond_CN|必要条件
LanguageConfig_DailyCopy_Str_Money_Title_CN|金券搜查
LanguageConfig_Task_Dispatch_Awakers_CN|派遣唤醒体
LanguageConfig_Task_Appoint_Battle_NeedTime_CN|立即
LanguageConfig_Task_Dispatch_NeedTime_CN|需耗时{s1}小时
LanguageConfig_Summon_DrawTenTimes_Btn_CN|唤醒5次
LanguageConfig_Summon_Tab_Type1_CN|命轮
LanguageConfig_Task_State_Received_CN|奖励已领取
LanguageConfig_Task_Dispatch_Minute_CN|{s1}分钟
LanguageConfig_Task_AchievementLabel_CN|成就标签
LanguageConfig_Summon_RateDesc_Btn_CN|唤醒详情
LanguageConfig_Task_State_Completed_CN|已完成
LanguageConfig_Summon_DrawOnce_Btn_CN|唤醒1次
LanguageConfig_Summon_RateDesc_Tab_UPItem_CN|UP物品
LanguageConfig_Summon_Tab_Type2_CN|唤醒体
LanguageConfig_Summon_Time_Remain2_CN|<RedQuality:{s1}>
LanguageConfig_Summon_Select_Btn_CN|选择本次结果
LanguageConfig_Summon_ReselectTimes_CN|次数：{s1}/{s2}
LanguageConfig_Task_Appoint_NonExistent_CN|任务已被刷新
LanguageConfig_Summon_RateDesc_Tab_LongDesc_CN|概率说明
LanguageConfig_Summon_RateDesc_Tab_ItemList_CN|物品清单
LanguageConfig_Summon_Times_Left_CN|{s1} 次后消失
LanguageConfig_Task_Dispatch_AwakerState_CN|派遣中
LanguageConfig_Summon_History_Btn_CN|唤醒历史
LanguageConfig_Task_Dispatch_Hour_CN|{s1}小时{s2}分
LanguageConfig_TrinketStrengthentTips_CN|请选择要强化的密契
LanguageConfig_DailyChallengeResonanceSelectTitle_CN|可选共鸣
LanguageConfig_DailyChallengeChosenResonanceTitle_CN|已选共鸣
LanguageConfig_EnchantmentAwardUncheck_CN|请选择一张卡牌镶嵌刻印
LanguageConfig_TeamTypeTips_Auxiliary_CN|队伍中缺少辅助型唤醒体
LanguageConfig_Monster_S0303_2_CN|「固守之执妄」强化了所有敌人！
LanguageConfig_Task_Dispatch_NeedTime_Min_CN|需耗时{s1}分钟
LanguageConfig_StoreReleaseNoAwaker_CN|所有唤醒体均已觉醒
LanguageConfig_EnchantmentAwardFull_CN|所有卡牌均已镶嵌刻印
LanguageConfig_DailyChallengeEnterButtonGreyTips_CN|请选择挑战共鸣项
LanguageConfig_MultiLifeReduceStar_CN|本次通关评价将降为{s1}星
LanguageConfig_SkillLevelExUpgrade_CN|<AwakerSkill:技能等级+{s1}>
LanguageConfig_Monster_S0203_1_CN|西区佬，送你一点小礼物，接着！
LanguageConfig_DailyChallengeTodayRelicGetConfirmButton_CN|确定
LanguageConfig_Monster_S0203_3_CN|头好晕…有点难以招架攻击了…
LanguageConfig_Monster_xiluo2_CN|那是不被容许的怜悯吗？
LanguageConfig_TrinketEmptyStateTips_CN|尚未拥有当前位置的密契
LanguageConfig_Task_Dispatch_Extra_Award_CN|额外报酬（已废弃）
LanguageConfig_TrinketStrengthenSuccess_2_CN|强化成功·双倍
LanguageConfig_Monster_xiluo3_CN|我曾是你的掌上明珠……
LanguageConfig_Monster_shuilian2_CN|我并不想伤害你们……
LanguageConfig_DailyChallengeUnlockNewResonanceConfirmButton_CN|确定
LanguageConfig_TrinketLevelUpTips_2_CN|随机提升{s1}条追加属性
LanguageConfig_Monster_S0103_2_CN|维度之孔的攻击中充满了电流…
LanguageConfig_DailyChallengeTodayStarTitle_CN|本日最高星级
LanguageConfig_TeamTypeTips_Def_CN|队伍中缺少防御型唤醒体
LanguageConfig_Monster_C0102_AT_2_CN|敌人正在准备进行一记重击！
LanguageConfig_SummonRepetitiveAwaker_CN|重复唤醒体，已转化
LanguageConfig_StoreEnchantmentConfirmTitle_CN|确定刻印此卡
LanguageConfig_AwakerSkillUpgradeTips_CN|升格等阶{s1}可继续升级
LanguageConfig_WeekChallengeStarNumReach_CN|当前挑战星数达到
LanguageConfig_BagTrinketEmptyDesc_CN|可通过禁忌纂录获取
LanguageConfig_TeamTypeTips_Atk_CN|队伍中缺少攻击型唤醒体
LanguageConfig_Task_Appoint_AllFinished_CN|今日派遣任务已全部完成！
LanguageConfig_Task_Appoint_Newer_Tips_CN|完成所有任务后刷新
LanguageConfig_SummonRulesExtraTxt2_CN|当前额外补偿次数：{s1}
LanguageConfig_EnchantmentAwardTitle2_CN|选择两张卡牌镶嵌刻印
LanguageConfig_Monster_XL_1_CN|敌人大幅强化了「力量」，小心！
LanguageConfig_Monster_xiluo0_CN|聆听吧，复仇者的愤怒！
LanguageConfig_Task_Dispatch_TeamNum_CN|已派遣队伍：{s1}/{s2}
LanguageConfig_Task_Dispatch_FinishedTips_CN|此任务已完成，不可召回
LanguageConfig_Summon_LongDesc_Text3_CN|以下SR 占全部SR物品出率的50%
